recall,precision,threshold
1.0,0.5,0.10630738735198975
0.9988066825775657,0.49970149253731344,0.11393706500530243
0.9976133651551312,0.4994026284348865,0.12095260620117188
0.9964200477326969,0.49910340705319783,0.1277497410774231
0.9964200477326969,0.49940191387559807,0.14640411734580994
0.9964200477326969,0.49970077797725915,0.1606605052947998
0.9964200477326969,0.5002995805871779,0.17449572682380676
0.9952267303102625,0.5,0.17504218220710754
0.9940334128878282,0.4997000599880024,0.18402789533138275
0.9940334128878282,0.5,0.1876833587884903
0.9928400954653938,0.4996996996996997,0.19227668642997742
0.9916467780429594,0.49939903846153844,0.19240207970142365
0.9916467780429594,0.49969933854479853,0.19711342453956604
0.9916467780429594,0.5,0.20183035731315613
0.9916467780429594,0.5003010234798314,0.2023167610168457
0.9916467780429594,0.5006024096385542,0.20381632447242737
0.9916467780429594,0.5009041591320073,0.20523372292518616
0.9904534606205251,0.5006031363088058,0.2091681808233261
0.9904534606205251,0.5009052504526252,0.21096646785736084
0.9904534606205251,0.501207729468599,0.2113390415906906
0.9892601431980907,0.5009063444108761,0.21307994425296783
0.9892601431980907,0.5012091898428053,0.21439284086227417
0.9892601431980907,0.5015124016938899,0.2161186933517456
0.9880668257756563,0.5012106537530266,0.21868404746055603
0.9880668257756563,0.5015142337976983,0.2187877595424652
0.9880668257756563,0.5018181818181818,0.21903839707374573
0.9880668257756563,0.5021224984839296,0.22229988873004913
0.9880668257756563,0.5024271844660194,0.22389639914035797
0.9880668257756563,0.5027322404371585,0.22481726109981537
0.9880668257756563,0.503037667071689,0.22529391944408417
0.986873508353222,0.5027355623100304,0.22533075511455536
0.986873508353222,0.5045759609517999,0.22575806081295013
0.986873508353222,0.5048840048840049,0.2261909693479538
0.986873508353222,0.5051924251679902,0.22709527611732483
0.986873508353222,0.5055012224938875,0.22758539021015167
0.9856801909307876,0.5051987767584097,0.22970348596572876
0.9856801909307876,0.5055079559363526,0.23059603571891785
0.9856801909307876,0.5061274509803921,0.23100018501281738
0.9856801909307876,0.5064377682403434,0.23113173246383667
0.9856801909307876,0.5070595457335789,0.23156748712062836
0.9844868735083532,0.5067567567567568,0.23178036510944366
0.9844868735083532,0.5070682237246465,0.23190270364284515
0.9844868735083532,0.507380073800738,0.23220303654670715
0.9832935560859188,0.5070769230769231,0.23225408792495728
0.9832935560859188,0.5073891625615764,0.23240385949611664
0.9821002386634845,0.5070856438693777,0.23292455077171326
0.9821002386634845,0.5073982737361282,0.23369278013706207
0.9809069212410502,0.5070943861813695,0.23377352952957153
0.9797136038186157,0.5067901234567901,0.23388473689556122
0.9785202863961814,0.506485484867202,0.23444640636444092
0.9785202863961814,0.5067985166872683,0.23445744812488556
0.9785202863961814,0.5071119356833642,0.2346358448266983
0.9785202863961814,0.5074257425742574,0.23498423397541046
0.9785202863961814,0.5077399380804953,0.23500192165374756
0.9785202863961814,0.5080545229244114,0.23506711423397064
0.977326968973747,0.5077495350278983,0.23511552810668945
0.977326968973747,0.5083798882681564,0.2352185845375061
0.9761336515513126,0.5080745341614907,0.23522813618183136
0.9749403341288783,0.5077688004972032,0.23522816598415375
0.9749403341288783,0.5084007467330429,0.23525665700435638
0.9749403341288783,0.5087173100871731,0.23526479303836823
0.9749403341288783,0.5096693699313787,0.23527701199054718
0.9749403341288783,0.5099875156054932,0.23534108698368073
0.9749403341288783,0.5103060587133041,0.23536156117916107
0.9749403341288783,0.510625,0.23539188504219055
0.9749403341288783,0.5109443402126329,0.2354084849357605
0.9737470167064439,0.5106382978723404,0.23541714251041412
0.9737470167064439,0.5112781954887218,0.2354220598936081
0.9725536992840096,0.5109717868338558,0.23542894423007965
0.9725536992840096,0.5116133082234777,0.23543882369995117
0.9725536992840096,0.5119346733668342,0.23545266687870026
0.9725536992840096,0.5122564424890006,0.23545405268669128
0.9689737470167065,0.5135989879822896,0.23545604944229126
0.9689737470167065,0.514575411913815,0.23545798659324646
0.9689737470167065,0.5149017121116043,0.2354622632265091
0.9689737470167065,0.5155555555555555,0.23546378314495087
0.9677804295942721,0.5152477763659467,0.23546409606933594
0.9677804295942721,0.5155753337571519,0.23546570539474487
0.9677804295942721,0.5162316995544239,0.23546597361564636
0.9677804295942721,0.5168897386870618,0.23546628654003143
0.9677804295942721,0.517219387755102,0.235468327999115
0.9677804295942721,0.5175494575622208,0.2354690432548523
0.9665871121718377,0.5172413793103449,0.23548007011413574
0.9665871121718377,0.5179028132992327,0.23548418283462524
0.9665871121718377,0.5182341650671785,0.23548513650894165
0.9665871121718377,0.5185659411011524,0.23548756539821625
0.9665871121718377,0.5188981422165279,0.23549005389213562
0.9665871121718377,0.5192307692307693,0.23550455272197723
0.9665871121718377,0.5195638229634381,0.23550833761692047
0.9653937947494033,0.5192554557124519,0.2355135977268219
0.9653937947494033,0.5195889531149647,0.23551753163337708
0.964200477326969,0.519280205655527,0.23552681505680084
0.964200477326969,0.5196141479099678,0.23552721738815308
0.964200477326969,0.5202833226014166,0.23553480207920074
0.964200477326969,0.520618556701031,0.2355395406484604
0.964200477326969,0.5209542230818827,0.23554161190986633
0.964200477326969,0.5212903225806451,0.23554332554340363
0.964200477326969,0.5219638242894057,0.23556815087795258
0.9630071599045346,0.5216548157724629,0.23556843400001526
0.9618138424821002,0.5213454075032341,0.23558852076530457
0.9618138424821002,0.5216828478964401,0.2356015145778656
0.9606205250596659,0.5213730569948186,0.2356165051460266
0.9606205250596659,0.5217109526895658,0.2356180101633072
